Comp,1,2,3,4,5,6,7,8
S,0.09,0.038,1,0.8,0.166666666666667,0.9,0.5,0.99
NTDS_L,0.8,0.038,0,0,0.166666666666667,0.05,0,0.01
NTDS_II,0.02,0.038,0,0.1,0.166666666666667,0,0.25,0
NTDS_IN,0.02,0.038,0,0.1,0.166666666666667,0,0,0
NTDS_T,0,0.038,0,0,0.166666666666667,0,0,0
NTDS_R,0.07,0.038,0,0,0.166666666666667,0.05,0,0
NTDR_L,0,0.038,0,0,0,0,0,0
NTDR_II,0,0.038,0,0,0,0,0.25,0
NTDR_IN,0,0.038,0,0,0,0,0,0
NTDR_T_IIphi,0,0.038,0,0,0,0,0,0
NTDR_T_IIpsi,0,0.038,0,0,0,0,0,0
NTDR_T_INphi,0,0.038,0,0,0,0,0,0
NTDR_T_INpsi,0,0.038,0,0,0,0,0,0
NTDR_R,0,0.038,0,0,0,0,0,0
PTDS_II,0,0.038,0,0,0,0,0,0
PTDS_IN,0,0.038,0,0,0,0,0,0
PTDS_T,0,0.038,0,0,0,0,0,0
PTDS_R,0,0.038,0,0,0,0,0,0
PTDR_L,0,0.038,0,0,0,0,0,0
PTDR_II,0,0.038,0,0,0,0,0,0
PTDR_IN,0,0.038,0,0,0,0,0,0
PTDR_T_IIphi,0,0.038,0,0,0,0,0,0
PTDR_T_IIpsi,0,0.038,0,0,0,0,0,0
PTDR_T_INphi,0,0.038,0,0,0,0,0,0
PTDR_T_INpsi,0,0.038,0,0,0,0,0,0
PTDR_R,0,0.038,0,0,0,0,0,0
NTDR_mdt,0,,0,,,,,
NTDR_nid,0,,0,,,,,
PTDR_mdt,0,,0,,,,,
PTDR_nid,0,,0,,,,,
v_S,0,,0,,,,,
v_NTDS_L,0,,0,,,,,
v_NTDS_II,0,,0,,,,,
v_NTDS_IN,0,,0,,,,,
v_NTDS_T,0,,0,,,,,
v_NTDS_R,0,,0,,,,,
v_NTDR_L,0,,0,,,,,
v_NTDR_II,0,,0,,,,,
v_NTDR_IN,0,,0,,,,,
v_NTDR_T_IIphi,0,,0,,,,,
v_NTDR_T_IIpsi,0,,0,,,,,
v_NTDR_T_INphi,0,,0,,,,,
v_NTDR_T_INpsi,0,,0,,,,,
v_NTDR_R,0,,0,,,,,
v_PTDS_II,0,,0,,,,,
v_PTDS_IN,0,,0,,,,,
v_PTDS_T,0,,0,,,,,
v_PTDS_R,0,,0,,,,,
v_PTDR_L,0,,0,,,,,
v_PTDR_II,0,,0,,,,,
v_PTDR_IN,0,,0,,,,,
v_PTDR_T_IIphi,0,,0,,,,,
v_PTDR_T_IIpsi,0,,0,,,,,
v_PTDR_T_INphi,0,,0,,,,,
v_PTDR_T_INpsi,0,,0,,,,,
v_PTDR_R,0,,0,,,,,
v_NTDR_mdt,0,,0,,,,,
v_NTDR_nid,0,,0,,,,,
v_PTDR_mdt,0,,0,,,,,
v_PTDR_nid,0,,0,,,,,
