Year,Age group,Est_new,Male_SP,Female_SP,Total_SP,Male_SN,Female_SN,Total_SN,Male_EP,Female_EP,Total_EP,Total_EP+SN,Male_newrel,Female_newrel,Total_newrel
2001,0-14,2574,1185,1389,2574,,,,,,,,,,
2001,15-24,32270,18331,13939,32270,,,,,,,,,,
2001,25-34,42987,26650,16337,42987,,,,,,,,,,
2001,35-44,35011,23747,11264,35011,,,,,,,,,,
2001,45-54,33212,23902,9310,33212,,,,,,,,,,
2001,55-64,26032,19282,6750,26032,,,,,,,,,,
2001,65+,27483,21312,6171,27483,,,,,,,,,,
2002,0-14,2077,925,1152,2077,,,,,,,,,,
2002,15-24,31183,17933,13250,31183,,,,,,,,,,
2002,25-34,40430,25242,15188,40430,,,,,,,,,,
2002,35-44,33150,22645,10505,33150,,,,,,,,,,
2002,45-54,32680,23884,8796,32680,,,,,,,,,,
2002,55-64,26150,19564,6586,26150,,,,,,,,,,
2002,65+,29302,22562,6740,29302,,,,,,,,,,
2003,0-14,2540,1133,1407,2540,,,,,,,,,,
2003,15-24,43936,25125,18811,43936,,,,,,,,,,
2003,25-34,52008,32760,19248,52008,,,,,,,,,,
2003,35-44,46387,31604,14783,46387,,,,,,,,,,
2003,45-54,44686,32585,12101,44686,,,,,,,,,,
2003,55-64,36231,27243,8988,36231,,,,,,,,,,
2003,65+,41492,32027,9465,41492,,,,,,,,,,
2004,0-14,3034,1375,1659,3034,,,,,,,,,,
2004,15-24,61416,35465,25951,61416,,,,,,,,,,
2004,25-34,68744,43594,25150,68744,,,,,,,,,,
2004,35-44,66021,45408,20613,66021,,,,,,,,,,
2004,45-54,63251,46256,16995,63251,,,,,,,,,,
2004,55-64,55884,41846,14038,55884,,,,,,,,,,
2004,65+,66536,50797,15739,66536,,,,,,,,,,
2005,0-14,3280,1416,1864,3280,,,,,,,,,,
2005,15-24,74185,43005,31180,74185,,,,,,,,,,
2005,25-34,77317,49558,27759,77317,,,,,,,,,,
2005,35-44,80128,55400,24728,80128,,,,,,,,,,
2005,45-54,74761,54872,19889,74761,,,,,,,,,,
2005,55-64,72025,53822,18203,72025,,,,,,,,,,
2005,65+,91023,69779,21244,91023,,,,,,,,,,
2006,0-14,2431,1023,1408,2431,,,,,,,,,,
2006,15-24,75432,44528,30904,75432,,,,,,,,,,
2006,25-34,74758,48232,26526,74758,,,,,,,,,,
2006,35-44,81297,56733,24564,81297,,,,,,,,,,
2006,45-54,73076,54301,18775,73076,,,,,,,,,,
2006,55-64,71528,53746,17782,71528,,,,,,,,,,
2006,65+,89769,68557,21212,89769,,,,,,,,,,
2007,0-14,2113,878,1235,2113,,,,,,,,,,
2007,15-24,73971,44011,29960,73971,,,,,,,,,,
2007,25-34,71288,46374,24914,71288,,,,,,,,,,
2007,35-44,79766,56224,23542,79766,,,,,,,,,,
2007,45-54,73089,54960,18129,73089,,,,,,,,,,
2007,55-64,73935,56288,17647,73935,,,,,,,,,,
2007,65+,91715,70376,21339,91715,,,,,,,,,,
2008,0-14,1715,751,964,1715,,,,,,,,,,
2008,15-24,74819,45596,29223,74819,,,,,,,,,,
2008,25-34,68135,44651,23484,68135,,,,,,,,,,
2008,35-44,78552,56182,22370,78552,,,,,,,,,,
2008,45-54,73305,55740,17565,73305,,,,,,,,,,
2008,55-64,75306,57492,17814,75306,,,,,,,,,,
2008,65+,90764,69678,21086,90764,,,,,,,,,,
2009,0-14,7243,944,1078,2022,2865,2356,5221,,,,,,,
2009,15-24,157683,44757,29195,73952,51307,32424,83731,,,,,,,
2009,25-34,128802,41439,22179,63618,42063,23121,65184,,,,,,,
2009,35-44,144480,53300,21636,74936,47112,22432,69544,,,,,,,
2009,45-54,134869,54700,16898,71598,44567,18704,63271,,,,,,,
2009,55-64,142124,57653,17537,75190,47249,19685,66934,,,,,,,
2009,65+,169276,67213,20623,87836,58778,22662,81440,,,,,,,
2010,0-14,6710,759,926,1685,2522,2193,4715,198,112,310,5025,,,
2010,15-24,158326,42851,27064,69915,54328,33194,87522,403,486,889,88411,,,
2010,25-34,126927,38880,21022,59902,41926,24042,65968,477,580,1057,67025,,,
2010,35-44,140446,50246,20422,70668,45869,22604,68473,507,798,1305,69778,,,
2010,45-54,132449,52925,16075,69000,43632,18710,62342,505,602,1107,63449,,,
2010,55-64,141787,56754,17441,74195,47016,19627,66643,429,520,949,67592,,,
2010,65+,162447,64514,20020,84534,55003,22202,77205,350,358,708,77913,,,
2011,0-14,5799,645,733,1378,2291,1874,4165,153,103,256,4421,,,
2011,15-24,153889,37514,22859,60373,58225,34383,92608,415,493,908,93516,,,
2011,25-34,126317,34597,18347,52944,46051,26119,72170,487,716,1203,73373,,,
2011,35-44,136575,43087,17119,60206,50724,24405,75129,531,709,1240,76369,,,
2011,45-54,135220,47949,14103,62052,51044,21018,72062,466,640,1106,73168,,,
2011,55-64,145312,51315,15218,66533,55593,22141,77734,463,582,1045,78779,,,
2011,65+,161947,55881,17638,73519,63305,24341,87646,390,392,782,88428,,,
2012,0-14,5625,511,580,1091,2362,1926,4288,155,91,246,4534,,,
2012,15-24,143422,29018,17786,46804,60246,35518,95764,393,461,854,96618,,,
2012,25-34,124004,28324,15549,43873,50282,28753,79035,463,633,1096,80131,,,
2012,35-44,130189,34505,13485,47990,54472,26472,80944,578,677,1255,82199,,,
2012,45-54,134642,40428,11981,52409,57181,23869,81050,499,684,1183,82233,,,
2012,55-64,150292,44821,13384,58205,64972,26085,91057,452,578,1030,92087,,,
2012,65+,170687,49413,16547,65960,74282,29630,103912,394,421,815,104727,,,
2013,0-14,2529,,,,,,,,,,,2529,2301,4830
2013,15-24,84785,,,,,,,,,,,84785,49491,134276
2013,25-34,76917,,,,,,,,,,,76917,44985,121902
2013,35-44,84565,,,,,,,,,,,84565,38804,123369
2013,45-54,100297,,,,,,,,,,,100297,37138,137435
2013,55-64,112558,,,,,,,,,,,112558,40892,153450
2013,65+,124476,,,,,,,,,,,124476,47438,171914
2014,0-14,2154,,,,,,,,,,,2154,2010,4164
2014,15-24,78469,,,,,,,,,,,78469,43893,122362
2014,25-34,74973,,,,,,,,,,,74973,43255,118228
2014,35-44,78232,,,,,,,,,,,78232,35937,114169
2014,45-54,102352,,,,,,,,,,,102352,38186,140538
2014,55-64,108902,,,,,,,,,,,108902,39749,148651
2014,65+,123436,,,,,,,,,,,123436,47735,171171
2015,0-14,2100,,,,,,,,,,,2100,2098,4198
2015,15-24,72413,,,,,,,,,,,72413,39315,111728
2015,25-34,73243,,,,,,,,,,,73243,42986,116229
2015,35-44,70553,,,,,,,,,,,70553,33294,103847
2015,45-54,103685,,,,,,,,,,,103685,38672,142357
2015,55-64,105403,,,,,,,,,,,105403,38563,143966
2015,65+,125699,,,,,,,,,,,125699,50415,176114
2016,0-14,2341,,,,,,,,,,,2341,2349,4690
2016,15-24,72029,,,,,,,,,,,72029,38102,110131
2016,25-34,72594,,,,,,,,,,,72594,41452,114046
2016,35-44,64989,,,,,,,,,,,64989,30795,95784
2016,45-54,103493,,,,,,,,,,,103493,38973,142466
2016,55-64,100077,,,,,,,,,,,100077,37153,137230
2016,65+,122436,,,,,,,,,,,122436,51710,174146
