Parameter,LL,UL
alltb_prev_allad_2000,163,195
alltb_prev_allad_2010,101,132
alltb_prev_1529_2000,72,116
alltb_prev_1529_2010,40,86
alltb_prev_3044_2000,96,146
alltb_prev_3044_2010,54,99
alltb_prev_4559_2000,174,260
alltb_prev_4559_2010,106,168
alltb_prev_60p_2000,510,698
alltb_prev_60p_2010,294,407
alltb_inc_all_2000,76.735,131.011
alltb_inc_all_2017,49.53,65.96
alltb_mort_all_2010,1.358,4.074
alltb_mort_014_2010,0.061,0.183
alltb_mort_1564_2010,0.883,2.65
alltb_mort_65p_2010,8.279,24.836
alltb_notif_all_2015,41.19,61.79
alltb_notif_014_2015,1.22,1.84
alltb_notif_1564_2015,43.9,65.85
alltb_notif_65p_2015,93.9,140.85
drtb_inc_2017,3.29,5.56
drtb_nt_notp_2007,4.59,7.09
drtb_pt_notp_2007,21.73,29.98
drtb_nt_notp_2013,5.6,8.7
drtb_pt_notp_2013,20,28
dr_treated2017,5943,7131.6
