Name,low,high
rmortTB,-0.99,0.99
fchild,0,0.15
fadult,0.25,0.75
felderly,0.19,0.75
vchild,0.0001,0.0003
vadult,0.0001,0.0003
velderly,0.0001,0.04
rchild,0.005,0.015
radult,0.005,0.015
relderly,0.005,0.2
pchild,0.01,0.06
padult,0.08,0.2
pelderly,0.08,0.36
ds_n,0.1,0.25
dr_n,0.1,0.25
dr_nelderly,0.1,0.25
ds_nelderly,0.1,0.25
omega,0.007,0.02
CDRscale,-0.999,0.999
CDRscaleE,-0.999,0.999
uiscaleC,-0.999,-0.9
uiscaleA,-0.999,-0.9
uiscaleE,-0.999,-0.9
DS_neta,0,10
DR_neta,0,5
x,0.25,0.41
e,0.4,0.8
xi,0.003,0.012
